Barcode,Entry,Species_consensus,Accession_#,USDA_Q_#,Alt_accession_#,UIUC_ID,project,project_id
Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:,Miscanthus sacchariflorus 4x  'PMS-457',Miscanthus sacchariflorus 4x,PMS-457,Q49087,,UI19-00083,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,RU2012-055,Q47666,,UI19-00081,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,RU2012-055,Q47666,,UI19-00081,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,RU2012-055,Q47666,,UI19-00081,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,RU2012-055,Q47666,,UI19-00081,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,RU2012-055,Q47666,,UI19-00081,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,RU2012-055,Q47666,,UI19-00081,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)'-Accn:RU2012-056.1WD (4x)-Q47667-Alt:,Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)',Miscanthus sacchariflorus 4x,RU2012-056.1WD (4x),Q47667,,UI19-00082,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)'-Accn:RU2012-056.1WD (4x)-Q47667-Alt:,Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)',Miscanthus sacchariflorus 4x,RU2012-056.1WD (4x),Q47667,,UI19-00082,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)'-Accn:RU2012-056.1WD (4x)-Q47667-Alt:,Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)',Miscanthus sacchariflorus 4x,RU2012-056.1WD (4x),Q47667,,UI19-00082,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)'-Accn:RU2012-056.1WD (4x)-Q47667-Alt:,Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)',Miscanthus sacchariflorus 4x,RU2012-056.1WD (4x),Q47667,,UI19-00082,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)'-Accn:RU2012-056.1WD (4x)-Q47667-Alt:,Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)',Miscanthus sacchariflorus 4x,RU2012-056.1WD (4x),Q47667,,UI19-00082,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)'-Accn:RU2012-056.1WD (4x)-Q47667-Alt:,Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)',Miscanthus sacchariflorus 4x,RU2012-056.1WD (4x),Q47667,,UI19-00082,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1'-Accn:JPN-2010-005-Q46427-Alt:JPN-2010-005,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1',Miscanthus sacchariflorus 4x,JPN-2010-005,Q46427,JPN-2010-005,UI21-00064,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1'-Accn:JPN-2010-005-Q46427-Alt:JPN-2010-005,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1',Miscanthus sacchariflorus 4x,JPN-2010-005,Q46427,JPN-2010-005,UI21-00064,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1'-Accn:JPN-2010-005-Q46427-Alt:JPN-2010-005,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1',Miscanthus sacchariflorus 4x,JPN-2010-005,Q46427,JPN-2010-005,UI21-00064,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1'-Accn:JPN-2010-005-Q46427-Alt:JPN-2010-005,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1',Miscanthus sacchariflorus 4x,JPN-2010-005,Q46427,JPN-2010-005,UI21-00064,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1'-Accn:JPN-2010-005-Q46427-Alt:JPN-2010-005,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1',Miscanthus sacchariflorus 4x,JPN-2010-005,Q46427,JPN-2010-005,UI21-00064,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1'-Accn:JPN-2010-005-Q46427-Alt:JPN-2010-005,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1',Miscanthus sacchariflorus 4x,JPN-2010-005,Q46427,JPN-2010-005,UI21-00064,mxg_genotype_exudates,MXG_GENEX
"Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'-Accn:JPN-2011-008-Q46808-Alt:JPN-2011-008","Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'",Miscanthus sacchariflorus 4x,JPN-2011-008,Q46808,JPN-2011-008,UI21-00063,mxg_genotype_exudates,MXG_GENEX
"Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'-Accn:JPN-2011-008-Q46808-Alt:JPN-2011-008","Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'",Miscanthus sacchariflorus 4x,JPN-2011-008,Q46808,JPN-2011-008,UI21-00063,mxg_genotype_exudates,MXG_GENEX
"Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'-Accn:JPN-2011-008-Q46808-Alt:JPN-2011-008","Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'",Miscanthus sacchariflorus 4x,JPN-2011-008,Q46808,JPN-2011-008,UI21-00063,mxg_genotype_exudates,MXG_GENEX
"Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'-Accn:JPN-2011-008-Q46808-Alt:JPN-2011-008","Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'",Miscanthus sacchariflorus 4x,JPN-2011-008,Q46808,JPN-2011-008,UI21-00063,mxg_genotype_exudates,MXG_GENEX
"Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'-Accn:JPN-2011-008-Q46808-Alt:JPN-2011-008","Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'",Miscanthus sacchariflorus 4x,JPN-2011-008,Q46808,JPN-2011-008,UI21-00063,mxg_genotype_exudates,MXG_GENEX
"Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'-Accn:JPN-2011-008-Q46808-Alt:JPN-2011-008","Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'",Miscanthus sacchariflorus 4x,JPN-2011-008,Q46808,JPN-2011-008,UI21-00063,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2'-Accn:JPN-2011-010-Q46810-Alt:JPN-2011-010,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2',Miscanthus sacchariflorus 4x,JPN-2011-010,Q46810,JPN-2011-010,UI21-00065,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2'-Accn:JPN-2011-010-Q46810-Alt:JPN-2011-010,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2',Miscanthus sacchariflorus 4x,JPN-2011-010,Q46810,JPN-2011-010,UI21-00065,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2'-Accn:JPN-2011-010-Q46810-Alt:JPN-2011-010,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2',Miscanthus sacchariflorus 4x,JPN-2011-010,Q46810,JPN-2011-010,UI21-00065,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2'-Accn:JPN-2011-010-Q46810-Alt:JPN-2011-010,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2',Miscanthus sacchariflorus 4x,JPN-2011-010,Q46810,JPN-2011-010,UI21-00065,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2'-Accn:JPN-2011-010-Q46810-Alt:JPN-2011-010,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2',Miscanthus sacchariflorus 4x,JPN-2011-010,Q46810,JPN-2011-010,UI21-00065,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2'-Accn:JPN-2011-010-Q46810-Alt:JPN-2011-010,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2',Miscanthus sacchariflorus 4x,JPN-2011-010,Q46810,JPN-2011-010,UI21-00065,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'PMS-512'-Accn:PMS-512-Q49089-Alt:,Miscanthus sacchariflorus  'PMS-512',Miscanthus sacchariflorus,PMS-512,Q49089,,UI21-00076,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'PMS-512'-Accn:PMS-512-Q49089-Alt:,Miscanthus sacchariflorus  'PMS-512',Miscanthus sacchariflorus,PMS-512,Q49089,,UI21-00076,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'PMS-512'-Accn:PMS-512-Q49089-Alt:,Miscanthus sacchariflorus  'PMS-512',Miscanthus sacchariflorus,PMS-512,Q49089,,UI21-00076,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'PMS-512'-Accn:PMS-512-Q49089-Alt:,Miscanthus sacchariflorus  'PMS-512',Miscanthus sacchariflorus,PMS-512,Q49089,,UI21-00076,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'PMS-512'-Accn:PMS-512-Q49089-Alt:,Miscanthus sacchariflorus  'PMS-512',Miscanthus sacchariflorus,PMS-512,Q49089,,UI21-00076,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'PMS-512'-Accn:PMS-512-Q49089-Alt:,Miscanthus sacchariflorus  'PMS-512',Miscanthus sacchariflorus,PMS-512,Q49089,,UI21-00076,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-048'-Accn:RU2012-048-Q47661-Alt:,Miscanthus sacchariflorus  'RU2012-048',Miscanthus sacchariflorus,RU2012-048,Q47661,,UI19-00122,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-048'-Accn:RU2012-048-Q47661-Alt:,Miscanthus sacchariflorus  'RU2012-048',Miscanthus sacchariflorus,RU2012-048,Q47661,,UI19-00122,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-048'-Accn:RU2012-048-Q47661-Alt:,Miscanthus sacchariflorus  'RU2012-048',Miscanthus sacchariflorus,RU2012-048,Q47661,,UI19-00122,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-048'-Accn:RU2012-048-Q47661-Alt:,Miscanthus sacchariflorus  'RU2012-048',Miscanthus sacchariflorus,RU2012-048,Q47661,,UI19-00122,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-048'-Accn:RU2012-048-Q47661-Alt:,Miscanthus sacchariflorus  'RU2012-048',Miscanthus sacchariflorus,RU2012-048,Q47661,,UI19-00122,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-048'-Accn:RU2012-048-Q47661-Alt:,Miscanthus sacchariflorus  'RU2012-048',Miscanthus sacchariflorus,RU2012-048,Q47661,,UI19-00122,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-069'-Accn:RU2012-069-Q47678-Alt:,Miscanthus sacchariflorus  'RU2012-069',Miscanthus sacchariflorus,RU2012-069,Q47678,,UI19-00137,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-069'-Accn:RU2012-069-Q47678-Alt:,Miscanthus sacchariflorus  'RU2012-069',Miscanthus sacchariflorus,RU2012-069,Q47678,,UI19-00137,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-069'-Accn:RU2012-069-Q47678-Alt:,Miscanthus sacchariflorus  'RU2012-069',Miscanthus sacchariflorus,RU2012-069,Q47678,,UI19-00137,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-069'-Accn:RU2012-069-Q47678-Alt:,Miscanthus sacchariflorus  'RU2012-069',Miscanthus sacchariflorus,RU2012-069,Q47678,,UI19-00137,mxg_genotype_exudates,MXG_GENEX
